Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
3,47,COG5342,Protein of unknown function (DUF1176),7.676427063238085,0.4666666666666666,0.0,0.2035666369903048,0.0
3,48,COG2857,Cytochrome C1,7.667369050270337,0.39999999999999997,0.0,0.20228628154978862,0.0
3,49,COG3131,Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs),7.66489603562333,0.4333333333333333,0.0,0.20193811419418506,0.0
3,50,COG2841,Protein of unknown function (DUF465),7.631351273783788,0.4833333333333333,0.0,0.19727394187188196,0.0
4,1,COG4836,Protein of unknown function (DUF1146),7.803614383190031,0.8095238095238084,0.0015923566878980893,0.4778143031870847,0.0011431132002139909
4,2,COG4072,Protein of unknown function C-terminal (DUF3324),7.230217473647941,0.15873015873015872,0.0015923566878980893,0.28286205911739315,0.0008905798030749939
4,3,COG1719,Protein of unknown function (DUF2507),6.889182759928379,0.7142857142857135,0.009554140127388535,0.4608211035175697,0.0028960374098900656
4,4,COG4892,Cytochrome B5,6.6940360476079315,0.4126984126984127,0.007961783439490446,0.373152020898088,0.0026136197646102373
4,5,COG4814,Alpha/beta hydrolase of unknown function (DUF915),6.6578731244382965,0.8730158730158717,0.01910828025477707,1.878116647796371,0.017609479333419508
4,6,COG4837,Protein of unknown function (DUF1462),6.563693079713045,0.1746031746031746,0.0,0.09359506921760265,0.0
4,7,COG4903,Competence transcription factor,6.329498348942896,0.15873015873015872,0.0,0.0794208873157056,0.0
4,8,COG4846,COG4846 Membrane protein involved in cytochrome C biogenesis,6.292073860058707,0.1746031746031746,0.0,0.07736154079985784,0.0
4,9,COG4873,Uncharacterized protein conserved in bacteria (DUF2187),6.292073860058707,0.1746031746031746,0.0,0.07736154079985784,0.0
4,10,COG4347,Protein of unknown function (DUF1405),6.292073860058707,0.1746031746031746,0.0,0.07736154079985784,0.0
4,11,COG4897,Uncharacterized protein conserved in bacteria (DUF2198),6.157536741432732,0.15873015873015872,0.0,0.07038439096556515,0.0
