OG,Description,Prevalence_Gut,Prevalence_Vaginal,Mean_per_1000_genes_Gut,Mean_per_1000_genes_Vaginal,log2FC_Vaginal_vs_Gut,Rank_biserial_Vaginal_vs_Gut,P_value,Q_value_BH,Significant_q<0.05,Higher_in
COG2390,Putative sugar-binding domain,0.18887015177065591,0.3244274809160305,0.13230360940451133,0.300339567412482,1.176674274352111,0.1552334487597029,7.661956085453931e-23,8.633464589103555e-22,True,Vaginal
COG1057,Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD),0.7432546374367516,0.8346055979643701,0.467985052367128,0.6163066454188211,0.3964453808577445,0.2170713026015989,8.068218131318881e-23,9.077649906492858e-22,True,Vaginal
2B1E3,,0.11614671163574992,0.002544529262086514,0.11384408474116144,0.001501949558866079,-5.5204800356954165,-0.11380332033177576,8.253271273868629e-23,9.271995952001369e-22,True,Gut
2BIMB,Protein of unknown function (DUF1648),0.11593591905564875,0.002544529262086514,0.07381222343198567,0.001501949558866079,-4.902149399546963,-0.1134774768396346,1.0083645396507653e-22,1.1311415633310449e-21,True,Gut
COG0332,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids,0.7114249578414781,0.5152671755725167,0.580270920381119,0.40248423465272887,-0.526698431577559,-0.2146439697231054,1.0231980044170073e-22,1.1460731219117284e-21,True,Gut
COG0857,DHHA2,0.12858347386171937,0.008905852417302799,0.07255179429807132,0.006270921418498459,-3.3385504279440315,-0.1191675355826457,1.0742351133269543e-22,1.2014513667179768e-21,True,Gut
COG0321,Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate,0.1283726812816182,0.2544529262086523,0.05538280769637007,0.13112485281250405,1.2285746377039857,0.13398603941660348,1.0908769189070805e-22,1.2182537935628477e-21,True,Vaginal
COG2607,ATPase (AAA superfamily),0.2647554806070815,0.09669211195928742,0.13236905865660328,0.05593707937876623,-1.2279836069080519,-0.16338972705310906,1.1592969230797797e-22,1.2927448800031854e-21,True,Gut
2BJDA,,0.1155143338954464,0.002544529262086514,0.07440159455568757,0.001501949558866079,-4.913470424097012,-0.11305803715098539,1.2332935632387015e-22,1.3732249482984773e-21,True,Gut
COG3947,"Transcriptional regulatory protein, C terminal",0.22365092748735008,0.06361323155216281,0.1403717632950266,0.06960129891151193,-1.0017273627779821,-0.15231560744736083,1.264412007112305e-22,1.4057945609356452e-21,True,Gut
