Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
0,1,COG3847,Flp Fap pilin component,6.385913975736386,0.8488095238095211,0.014061010486177316,0.5662798977705846,0.005783373612787244
0,2,COG4646,Protein of unknown function (DUF2958),5.664823285035432,0.10714285714285704,0.0009532888465204957,0.07147949170763133,0.0004286748844815677
0,3,COG5265,ATP-binding cassette subfamily B,5.278145195570926,0.6630952380952361,0.021925643469971362,0.4285391279758947,0.01006936494208831
0,4,COG2852,Protein of unknown function (DUF559),4.92298041120507,0.8749999999999972,0.12249761677788472,2.934451204920095,0.0957631713839236
0,5,COG5606,Helix-turn-helix domain,4.836531902173192,0.266666666666666,0.015729265967588182,0.16724056985896213,0.004888294910581796
0,6,COG3883,PFAM NLP P60 protein,4.817597489565615,0.8357142857142831,0.06387035271687293,1.0021624576994002,0.034573772174574274
0,7,COG3116,cell division,4.683419832966393,0.758333333333331,0.04957102001906555,0.5059653478788779,0.01873006079301304
0,8,COG2222,"sugar isomerase, AgaS family",4.6239182150089455,0.7785714285714261,0.18160152526215348,2.995862638661128,0.12054266573444852
0,9,COG3261,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit",4.5317195972787125,0.8023809523809499,0.09914204003813205,1.2225117801275216,0.05189621832742417
0,10,COG3260,"NADH ubiquinone oxidoreductase, 20",4.523021414971423,0.7559523809523786,0.08460438512869417,0.9757447609786033,0.04148307786648204
0,11,COG4878,Uncharacterised protein conserved in bacteria (DUF2194),4.2023243904666385,0.42619047619047495,0.02788369876072442,0.2796540900061864,0.014245640777975329
0,12,COG5573,PIN domain,4.174801290495036,0.14642857142857119,0.009294566253574835,0.09778967605630176,0.004469796222217966
0,13,COG1623,"Has also diadenylate cyclase activity, catalyzing the condensation of 2 ATP molecules into cyclic di-AMP (c-di-AMP). c- di-AMP acts as a signaling molecule that couples DNA integrity with progression of sporulation. The rise in c-di-AMP level generated by DisA while scanning the chromosome, operates as a positive signal that advances sporulation",4.158385669053994,0.7511904761904739,0.05219256434699689,0.508635176773198,0.027540434263552408
0,14,COG1848,PIN domain,4.10761809917731,0.6964285714285693,0.06649189704480435,0.7355080072322349,0.04172294816345423
0,15,COG4237,Hydrogenase 4 membrane,4.056877170463752,0.5428571428571413,0.04146806482364139,0.35122915493033074,0.020163309524801963
0,16,COG4295,Uncharacterized protein conserved in bacteria (DUF2263),3.9926349239868135,0.655952380952379,0.05052430886558604,0.4170317590151564,0.02526070636942554
0,17,COG1430,"Uncharacterized ACR, COG1430",3.909448567968143,0.8130952380952355,0.05934223069590056,0.5822579730290156,0.03781498286402849
0,18,COG1933,Double zinc ribbon,3.8590775002957884,0.720238095238093,0.050285986653955915,0.48351736867788386,0.03238960388024248
0,19,COG0650,NADH dehydrogenase,3.8583775270196146,0.7845238095238071,0.09080076263107753,0.7225311238550778,0.04888498517668885
0,20,COG3827,Membrane,3.843825684821779,0.33214285714285624,0.029551954242135275,0.2927013604262221,0.0194549832850195
0,21,COG4643,DNA integration,3.802314021284135,0.6107142857142839,0.043136320305052246,0.3874616653641223,0.02684438271074378
0,22,COG2359,Stage V sporulation protein S (SpoVS),3.7382295538803767,0.7988095238095213,0.07435653002859861,0.5245624142022581,0.038382662397527856
0,23,COG1594,Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen,3.6841900457388115,0.6059523809523791,0.04957102001906555,0.3909784480260225,0.02949372473047097
0,24,COG4487,mechanosensitive ion channel activity,3.6537134564078384,0.7821428571428547,0.0962821734985705,0.8278861673823248,0.06485936608119076
0,25,COG4683,Phage derived protein Gp49-like (DUF891),3.592230060220581,0.25357142857142795,0.029790276453765398,0.15858662732345144,0.012232061083805217
0,26,COG3458,Acetyl xylan esterase (AXE1),3.5388394687159224,0.6797619047619027,0.13822688274547248,1.245805344409382,0.1062758156484662
0,27,COG3580,PFAM CoA enzyme activase uncharacterised domain (DUF2229),3.449421784040546,0.13333333333333314,0.016205910390848427,0.10278266566625573,0.008500476689421645
0,28,COG1259,Conserved protein,3.419697022473927,0.8678571428571401,0.11487130600572058,0.5858639773015198,0.053841089329225204
0,29,COG3158,Transport of potassium into the cell,3.368357798094209,0.7797619047619023,0.15919923736892264,0.908499952375365,0.08706958447889664
0,30,COG4186,Ser Thr phosphatase family protein,3.339744996386846,0.6869047619047598,0.1198760724499533,0.6691070088868055,0.06518822561701322
0,31,COG3716,PTS system mannose/fructose/sorbose family IID component,3.3321319013332724,0.7999999999999975,0.19637750238322063,2.497381620505062,0.24707735597260486
0,32,COG3715,PTS system sorbose-specific iic component,3.237169633408816,0.7988095238095213,0.20185891325071328,2.430712880365623,0.25688562499724327
0,33,COG3444,"PTS system, mannose fructose sorbose family, IIB",3.2327846853343867,0.7845238095238071,0.16706387035271644,1.8568862737232585,0.19663049859652462
0,34,COG4687,Domain of unknown function (DUF956),3.218454767450303,0.688095238095236,0.07864632983794094,0.45207581352667675,0.047676512413304145
0,35,COG2453,Inositol hexakisphosphate,3.159560981127671,0.14761904761904737,0.026453765490943686,0.12582605941965627,0.013193381308902569
0,36,COG3503,Membrane,3.1444837331491606,0.6964285714285693,0.15371782650142998,0.8257278945962749,0.09249290769078236
0,37,COG2214,Heat shock protein DnaJ domain protein,3.1415460649298126,0.7476190476190453,0.11272640610104942,0.49997785250743,0.055770004476190016
0,38,COG1243,Radical SAM,3.135065991639079,0.8380952380952355,0.17945662535748244,0.9960413825408796,0.11249174729135712
0,39,COG2331,Putative regulatory protein,3.123081298146066,0.6333333333333314,0.07149666348903706,0.4062484499299291,0.04574318383656644
0,40,COG5015,Pyridoxamine 5'-phosphate oxidase,3.1082546119358483,0.7452380952380929,0.17135367016205852,0.8656721992586486,0.09950252970288095
0,41,COG1036,"Psort location Cytoplasmic, score",3.107907082124958,0.6952380952380931,0.10795996186844684,0.4819026038906814,0.05501267215635853
0,42,COG1440,IIB subunit,3.1019646898050723,0.7273809523809501,0.15181124880838906,1.5512822553333034,0.17979494180465366
0,43,COG1666,Belongs to the UPF0234 family,3.099458777572467,0.8940476190476162,0.1415633937082941,0.601293294024032,0.0692712963459586
0,44,COG2190,"PTS system, glucose subfamily, IIA",3.084390934057211,0.7761904761904738,0.2440419447092437,1.3109006289703828,0.15367023692138423
0,45,COG4573,Tagatose 6 phosphate kinase,3.063997857329823,0.33928571428571336,0.06244041944709215,0.21725637180114676,0.02509826698831033
0,46,COG3947,"Transcriptional regulatory protein, C terminal",3.037754272107717,0.758333333333331,0.10962821734985774,0.5310646129264569,0.06379018500350017
0,47,COG2893,PTS system fructose IIA component,2.988122460974884,0.7892857142857118,0.23236415633936805,2.134131347138906,0.2680977740013854
0,48,COG2188,"Transcriptional regulator, GntR family",2.9850181124078565,0.8130952380952355,0.4606768350810186,4.433576366217905,0.5591084810129533
0,49,COG4768,protein containing a divergent version of the methyl-accepting chemotaxis-like domain,2.9189589079613465,0.8166666666666641,0.11892278360343278,0.5458381147130321,0.07130437725163401
0,50,COG1975,XdhC and CoxI family,2.9084171520631545,0.758333333333331,0.20734032411820594,0.8612538240509519,0.11384559085474345
1,1,COG3539,Fimbrial protein,10.973957937431564,0.446078431372548,0.000216076058772688,2.2226775826502427,0.00010555742978636444
1,2,COG4566,"helix_turn_helix, Lux Regulon",9.425279177531076,0.5196078431372536,0.0006482281763180639,0.9443285231806753,0.00037496300150634704
1,3,COG2916,Belongs to the histone-like protein H-NS family,8.437129702400306,0.6446078431372532,0.0,0.3456004464057805,0.0
1,4,COG3113,STAS domain,8.25482782778206,0.7598039215686253,0.0,0.30445749453346077,0.0
